rule_name,input_objects,input_states,output_objects,output_states
cappuccino,espresso.n.01_(i) and cane_sugar.n.02_(j) and whole_milk.n.01_(k) and foam.n.01_(l),,cappuccino.n.01_(n),
vinegar cleaning solution,vinegar.n.01_(i) and water.n.06_(j) and lemon_juice.n.01_(k),,vinegar_cleaning_solution.n.01_(n),
cafe au lait,espresso.n.01_(i) and low-fat_milk.n.01_(j) and sugar_syrup.n.01_(k),,cafe_au_lait.n.01_(n),
cake mix,flour.n.01_(i) and baking_powder.n.01_(j) and salt.n.02_(k) and granulated_sugar.n.01_(l) and sodium_carbonate.n.01_(m),,cake_mix.n.01_(p),
cinnamon sugar,cinnamon.n.03_(i) and granulated_sugar.n.01_(j),,cinnamon_sugar.n.01_(m),
fruit punch,orange_juice.n.01_(i) and ginger_beer.n.01_(j) and lemonade.n.01_(k) and pineapple_juice.n.01_(l),,fruit_punch.n.01_(o),
cream soda,soda_water.n.03_(i) and heavy_cream.n.01_(j) and sugar_syrup.n.01_(k),,cream_soda.n.01_(n),
green tea,water.n.06_(i) and green_tea.n.01_(i),,tea.n.01_(m),
green tea latte,low-fat_milk.n.01_(i) and tea.n.01_(j),,green_tea_latte.n.01_(m),
drip coffee,instant_coffee.n.01_(i) and water.n.06_(j),,drip_coffee.n.01_(m),
lemon stain remover,lemon_juice.n.01_(i) and vinegar.n.01_(j) and sodium_carbonate.n.01_(k),,lemon_stain_remover.n.01_(n),
lemonade,water.n.06_(i) and granulated_sugar.n.01_(j) and lemon_juice.n.01_(k),,lemonade.n.01_(n),
limeade,water.n.06_(i) and granulated_sugar.n.01_(j) and lime_juice.n.01_(k),,limeade.n.01_(n),
poultry seasoning,rosemary.n.02_(i) and sage.n.02_(j) and thyme.n.02_(k) and black_pepper.n.02_(l) and nutmeg.n.02_(m),,poultry_seasoning.n.01_(p),
pumpkin pie spice ,cinnamon.n.03_(i) and ginger.n.02_(j) and nutmeg.n.02_(k) and allspice.n.03_(l) and clove.n.04_(m),,pumpkin_pie_spice.n.01_(p),
